yasmAjjAyate,yasmAt+jAyate
SaNkukarRaHpurato vilokya,SaNkukarRaHpurataH+vilokya
evABivartate,eva+aBivartate
ya ezaH,yaH+ezaH
sarozo,sarozaH+
yaTArkaH,yaTA+arkaH
yaTAnirdizwo rAvaRaH,yaTAnirdizwaH+rAvaRaH
kaTaM Bo,kaTam+Bo
navavAkyavAdiYCfRomi,navavAkyavAdin+SfRomi
SIGraM vada,SIGram+vada
cAdya,ca+adya
DfzwaM,Dfzwam+
pariDarzito'ham,pariDarzitaH+aham
kenacid vAnareRa,kenacit+vAnareRa
sasaMramBamaBimfditASokavanikA,sasaMramBam+aBimfditASokavanikA
vAnareReti,vAnareRa+iti
nigfhyAnaya,nigfhya+Anaya
SaNkukarRaHyadAjYApayati,SaNkukarRaHyad+AjYApayati
jagattrayaBItikfto'pi,jagattrayaBItikftaH+api
sa vAnaraH,saH+vAnaraH
mfRAlavadutpAwitAH,mfRAlavat+utpAwitAH
Bagno dAruparvatakaH,BagnaH+dAruparvatakaH
pARitalAByAmaBimfditAni,pARitalAByAm+aBimfditAni
nAdenEva,nAdena+eva
balamAjYApaya,balam+AjYApaya
SaNkukarRaHyadAjYApayati,SaNkukarRaHyad+AjYApayati
kziprameva,kzipram+eva
hatAstena,hatAH+tena
kiNkarA drumayoDinA,kiNkarAH+drumayoDinA
hatA iti,hatAH+iti
SaNkukarRaHyadAjYApayati,SaNkukarRaHyad+AjYApayati
kumAro hi,kumAraH+hi
kftAstraSca,kftAstraH+ca
SUraSca,SUraH+ca
balavAnapi,balavAn+api
cApi,ca+api
taM vanOkasam,tam+vanOkasam
rAvaRaHkimarTam,rAvaRaHkim+arTam
SaNkukarRaHSrotumarhati,SaNkukarRaHSrotum+arhati
mahArAjenAnAjYApitA,mahArAjena+anAjYApitA
apyanugatAH,api+anugatAH
rAvaRaHtatastataH,rAvaRaHtataH+tataH
BIta iva,BItaH+iva
toraRamASritya,toraRam+ASritya
kAYcanapariGamudyamya,kAYcanapariGam+udyamya
nipAtitAstena,nipAtitAH+tena
rAvaRaHtatastataH,rAvaRaHtataH+tataH
kumAramakzaM,kumAram+akzam
vAhayantaM,vAhayantam+
paramalaGutaraM bARajAlAn,paramalaGutaram+bARajAlAn
kapirapi,kapiH+api
muditataramuKo muzwinA,muditataramuKaH+muzwinA
nirjaGAneti,nirjaGAna+iti
BasmIkaromyasmat,BasmIkaromi+asmat
nihataM SrutvA,nihatam+SrutvA
jYAyatAM vfttAntaH,jYAyatAm+vfttAntaH
SaNkukarRaHyadAjYApayati,SaNkukarRaHyad+AjYApayati
rAvaRaHkumAro hi,rAvaRaHkumAraH+hi
kftAstraSca,kftAstraH+ca
avaSyaM yuDi,avaSyam+yuDi
vaDo vA,vaDaH+vA
vijayo'TavA,vijayaH+aTavA
taTApi,taTA+api
yudDaM kumArasya,yudDam+kumArasya
sa vAnaraH,saH+vAnaraH
SIGraM badDaH,SIGram+badDaH
rAvaRaHko'tra,rAvaRaHkaH+atra
badDa iti,badDaH+iti
ko'tra,kaH+atra
rAkzasaHyadAjYApayati,rAkzasaHyad+AjYApayati
rAvaRaHtvamapi,rAvaRaHtvam+api
vAnaramAnaya,vAnaram+Anaya
SaNkukarRayadAjYApayati,SaNkukarRayad+AjYApayati
trElokyamAjO,trElokyam+AjO
yanmayA,yat+mayA
sAkamAkampya,sAkam+Akampya
punaragasutayA,punaH+agasutayA
SaptaM ca,Saptam+ca
tAByAM yadi,tAByAm+yadi
tanmama,tat+mama
dIyatAmiti,dIyatAm+iti
suhfdAM SokakAraRAt,suhfdAm+SokakAraRAt
ehyehi,ehi+ehi
eza upaviSAmi,ezaH+upaviSAmi
nirviRRamiva,nirviRRam+iva
tvAM lakzaye,tvAm+lakzaye
viBIzaRaHnirveda eva,viBIzaRaHnirvedaH+eva
svAminamupASritasya,svAminam+upASritasya
rAvaRaHCidyatAmezA,rAvaRaHCidyatAm+ezA
tvamapi,tvam+api
vAnaramAnaya,vAnaram+Anaya
viBIzaRaHyadAjYApayati,viBIzaRaHyad+AjYApayati
ita itaH,itaH+itaH
Darzitastena,DarzitaH+tena
kimasya,kim+asya
tvamavagacCasi,tvam+avagacCasi
viBIzaRaHprazwumarhati,viBIzaRaHprazwum+arhati
kastvam,kaH+tvam
mArutasyOrasaH,mArutasya+OrasaH
kiM Srutam,kim+Srutam
rAvaRaHkiM Srutena,rAvaRaHkim+Srutena
kimAha,kim+Aha
SrUyatAM rAmaSAsanam,SrUyatAm+rAmaSAsanam
sarvAparADezvavaDyAH,sarvAparADezu+avaDyAH
kartumarhati,kartum+arhati
kimAha,kim+Aha
sa mAnuzaH,saH+mAnuzaH
SrUyatAM,SrUyatAm+
varaSaraRamupehi,varaSaraRam+upehi
SaNkaraM vA,SaNkaram+vA
rasAtalaM vA,rasAtalam+vA
SaravarapariBinnasarvagAtraM,SaravarapariBinnasarvagAtram+
dEtyendrA mama,dEtyendrAH+mama
kaTamaBiyAti,kaTam+aBiyAti
mAnuzo mAma,mAnuzaH+mAm
hanUmAnevaM viDena,hanUmAnevam+viDena
pracCannaM tasya,pracCannam+tasya
dArApaharaRaM kftam,dArApaharaRam+kftam
viBIzaRaHsamyagAha,viBIzaRaHsamyak+Aha
rAmaM tvayA,rAmam+tvayA
vipakzapakzamavalambase,vipakzapakzam+avalambase
hitaM me,hitam+me
pradIyatAM rAGavaDarmapatnI,pradIyatAm+rAGavaDarmapatnI
kulaM rAkzasapuNgavena,kulam+rAkzasapuNgavena
necCAmi,na+icCAmi
kaTaM lambasawaH,kaTam+lambasawaH
siMho mfgeRa,siMhaH+mfgeRa
gajo vA,gajaH+vA
taM,tam+
BuvanEkanATaM,BuvanEkanATam+
nAmABiDatte,nAma+aBiDatte
lANgUlamAdIpya,lANgUlam+AdIpya
SaNkukarRaHyadAjYApayati,SaNkukarRaHyad+AjYApayati
ita itaH,itaH+itaH
hanUmAnayamasmi,hanUmAnayam+asmi
madvacanAt,mad+vacanAt
sa mAnuzaH,saH+mAnuzaH
aBiBUto mayA,aBiBUtaH+mayA
dArApaharaRAdasi,dArApaharaRAd+asi
te'sti,te+asti
dIyatAM me,dIyatAm+me
raRo mahAn,raRaH+mahAn
hanUmAnacirAd drakzyasi,hanUmAnacirAt+drakzyasi
aBihatavaravapragopurAwwAM,aBihatavaravapragopurAwwAm+
raGuvarakArmukanAdanirjitastvam,raGuvarakArmukanAdanirjitaH+tvam
rAkzasAHita itaH,rAkzasAHitaH+itaH
nizkrAnto hanumAn,nizkrAntaH+hanumAn
kAcid vivakzA,kAcit+vivakzA
hitamantareRa,hitam+antareRa
rAvaRaHucyatAM,rAvaRaHucyatAm+
vayamapi,vayam+api
sItApaharaRameva,sItApaharaRam+eva
ko dozaH,kaH+dozaH
viBIzaRaHaDarmaSca,viBIzaRaHaDarmaH+ca
sAvaSezamiva,sAvaSezam+iva
tad brUhi,tat+brUhi
viBIzaRaHtadeva,viBIzaRaHtad+eva
kiM gUhase,kim+gUhase
satyaM na,satyam+na
dAtumarhati,dAtum+arhati
rAvaRaHdattamaBayam,rAvaRaHdattam+aBayam
viBIzaRaHbalavadvigrahaSca,viBIzaRaHbalavadvigrahaH+ca
balavadvigraho nAma,balavadvigrahaH+nAma
SatrupakzamupASritya,Satrupakzam+upASritya
ko'tra,kaH+atra
mamAnavekzya,mama+anavekzya
SatrupakzamupASritam,Satrupakzam+upASritam
notsahe,na+utsahe
ahameva,aham+eva
rozaM ca,rozam+ca
kAmaM ca,kAmam+ca
kAryaM taTA,kAryam+taTA
ayamidAnIm,ayam+idAnIm
adyEva,adya+eva
rAmaM hi,rAmam+hi
nfdevaM,nfdevam+
punarudDarizye,punaH+udDarizye
nirgato viBIzaRaH,nirgataH+viBIzaRaH
nagararakzAM sampAdayAmi,nagararakzAm+sampAdayAmi
tftIyo'NkaH,tftIyaH+aNkaH
caturTo'NkaH,caturTaH+aNkaH
sannAhamAjYApaya,sannAham+AjYApaya
hanUmatAnItaH,hanUmatA+AnItaH
KalvAryarAmasya,Kalu+AryarAmasya
sItAyA vfttAntaH,sItAyAH+vfttAntaH
balADyakzaHkimiti,balADyakzaHkim+iti
kimiti,kim+iti
kAYcukIyaHSrUyatAM,kAYcukIyaHSrUyatAm+
laNkAyAM kila,laNkAyAm+kila
BfSaM,BfSam+
DarmasamayaM saMkleSyamAnA,Darmasamayam+saMkleSyamAnA
BfSaSokataptamanaso rAmasya,BfSaSokataptamanasaH+rAmasya
sannAhamAjYApitA,sannAham+AjYApitA
yadAjYApayati,yad+AjYApayati
vAnaravAhinIti,vAnaravAhinI+iti
rAmo lakzmaRaH,rAmaH+lakzmaRaH
hanumAMSca,hanumAn+ca
pfTusAnukuYjagahanA meGopamAH,pfTusAnukuYjagahanAH+meGopamAH
nadyaSca,nadyaH+ca
tIrRA mayA,tIrRAH+mayA
citraM mahat,citram+mahat
kAnanaM,kAnanam+
samprApto'smi,samprAptaH+asmi
velAtawaM sAmpratam,velAtawam+sAmpratam
eza BagavAn,ezaH+BagavAn
sajalajalaDarendranIlanIro vilulitaPenataraNgacAruhAraH,sajalajalaDarendranIlanIraH+vilulitaPenataraNgacAruhAraH
kaTaM BoH,kaTam+BoH
sajIvamadya,sajIvam+adya
kartuM nivArayati,kartum+nivArayati
kuto nu,kutaH+nu
rAkzaso'sO,rAkzasaH+asO
ivASu,iva+ASu
hutASanaM pravezwum,hutASanam+pravezwum
apramattA Bavantu,apramattAH+Bavantu
SElErdrumEH,SElEH+drumEH
rakzovaDArTaM yuDi,rakzovaDArTam+yuDi
vAnarendrAstizWantu,vAnarendrAH+tizWantu
no narendram,naH+narendram
rAmaHrAkzasa iti,rAmaHrAkzasaH+iti
hanUmAnyadAjYApayati,hanUmAnyad+AjYApayati
prApto'smi,prAptaH+asmi
kaTaM nu,kaTam+nu
mAmavagacCet,mAm+avagacCet
sTAtuM surEH,sTAtum+surEH
surariporyuDi,suraripoH+yuDi
mAM,mAm+
vakzyatIti,vakzyati+iti
pariSaNkitaM me,pariSaNkitam+me
rAmo viSudDamanasA,rAmaH+viSudDamanasA
aDo'valokya,aDaH+avalokya
idaM raGukulavfzaBasya,idam+raGukulavfzaBasya
yAvadavatarAmi,yAvat+avatarAmi
hanUmAnUrDvamavalokya,hanUmAnUrDvam+avalokya
kaTaM tatraBavAn,kaTam+tatraBavAn
SaraRArTamupAgataH,SaraRArTam+upAgataH
rAmaHkaTaM viBIzaRaH,rAmaHkaTam+viBIzaRaH
SaraRAgata iti,SaraRAgataH+iti
praveSyatAM viBIzaRaH,praveSyatAm+viBIzaRaH
vaktukAmamiva,vaktukAmam+iva
tvAM lakzye,tvAm+lakzye
praveSyatAM viBIzaRaH,praveSyatAm+viBIzaRaH
mEvaM,mA+evam
BaktAstaTA,BaktAH+taTA
vivadamAno'pi,vivadamAnaH+api
pUrvaM pure,pUrvam+pure
praveSyatAM viBIzaRaH,praveSyatAm+viBIzaRaH
kumAro lakzmaRaH,kumAraH+lakzmaRaH
saMvftto'smi,saMvfttaH+asmi
lakzmaRaHjayatvAryaH,lakzmaRaHjayatu+AryaH
saMvftto'smi,saMvfttaH+asmi
SaraRyaM SaraRAgataH,SaraRyam+SaraRAgataH
adyAsmi,adya+asmi
rAjaMstvaddarSanavikalmazaH,rAjan+tvaddarSanavikalmazaH
viBIzaRaHanugfhIto'smi,viBIzaRaHanugfhItaH+asmi
tvadAgamanAdeva,tvadAgamanAt+eva
sidDamasmatkAryam,sidDam+asmatkAryam
nADigamyate,na+aDigamyate
mArgaM na,mArgam+na
visrazwumarhati,visrazwum+arhati
evaM tAvat,evam+tAvat
sahasottizWan,sahasA+uttizWan
SaraparidagDatoyapaNkaM,SaraparidagDatoyapaNkam+
pratihatavIciravaM karomi,pratihatavIciravam+karomi
nararUpamupASritasya,nararUpam+upASritasya
kAryArTamaByupagatasya,kAryArTam+aByupagatasya
pratUrRaM,pratUrRam+
ayaM BagavAn,ayam+BagavAn
rUpamAsTAya,rUpam+AsTAya
svayaM kAraRaBUtaH,svayam+kAraRaBUtaH
namo Bagavate,namaH+Bagavate
ko nu,kaH+nu
KalvezaH,Kalu+ezaH
navakuvalayanIlo mattamAtaNgalIlaH,navakuvalayanIlaH+mattamAtaNgalIlaH
SIGra,SIGram+
mavanatamiva,avanatam+iva
kurvaMstejasA,kurvaMn+tejasA
ayaM Kalu,ayam+Kalu
varuRo'yam,varuRaH+ayam
kartumarhati,kartum+arhati
kopo rozeRa,kopaH+rozeRa
SIGraM narottama,SIGram+narottama
dAtumarhati,dAtum+arhati
varuRaHeza mArgaH,varuRaHezaH+mArgaH
dviDABUta iva,dviDABUtaH+iva
gacCAgrataH,gacCa+agrataH
hanUmAnyadAjYApayati,hanUmAnyad+AjYApayati
kvacidapi,kvacit+api
kvacicCaNKAkIrRaH,kvacit+SaNKAkIrRaH
kvacidapi,kvacit+api
kvacid vIcImAlaH,kvacit+vIcImAlaH
kvacidapi,kvacit+api
kvacid BImAvartaH,kvacit+BImAvartaH
kvacidapi,kvacit+api
BagavatprasAdAdatItaH,BagavatprasAdAd+atItaH
rAmaciraM vilokya,rAmaciram+vilokya
udaDijalagateva,udaDijalagatA+iva
nOrvipannA,nOH+vipannA
sugrIvaHyadAjYApayati,sugrIvaHyad+AjYApayati
evaM kriyatAm,evam+kriyatAm
nIlaHyadAjYApayati,nIlaHyad+AjYApayati
kramAnniveSyamAnAsu,kramAt+niveSyamAnAsu
vayaM na,vayam+na
devastasmAt,devaH+tasmAt
praveSayatvetO,praveSayatu+etO
nIlaHyadAjYApayati,nIlaHyad+AjYApayati
vAnarErgfhyamARO,vAnarEH+gfhyamARO
BaRataM kO,BaRatam+kO
yuvAM BaRatam,yuvAm+BaRatam
AvAmAryakumudasya,AvAm+Aryakumudasya
viBIzaRaHsAvaDAnaM SukasAraRO,viBIzaRaHsAvaDAnam+SukasAraRO
rAvaRenEtO,rAvaRena+etO
AvAM Kalu,AvAm+Kalu
AryasaMSrayArTaM vAnararUpeRa,AryasaMSrayArTam+vAnararUpeRa
kaTamiva,kaTam+iva
prARAntike'pi,prARAntike+api
nEva,na+eva
daRqamAjYApayatu,daRqam+AjYApayatu
mEvam,mA+evam
SAsanAdeva,SAsanAt+eva
vfdDirBavizyati,vfdDiH+Bavizyati
kzayo vA,kzayaH+vA
tasmAdetO,tasmAt+etO
sarvaskanDAvAraM praviSya,sarvaskanDAvAram+praviSya
evaM kriyatAm,evam+kriyatAm
nIlaHyadAjYApayati,nIlaHyad+AjYApayati
rAmaHaBiDIyatAM madvacanAt,rAmaHaBiDIyatAm+madvacanAt
sa rAkzasendraH,saH+rAkzasendraH
drazwakAmo raRAtiTiH,drazwakAmaH+raRAtiTiH
uBOyadAjYApayati,uBOyad+AjYApayati
vayamapi,vayam+api
balaM parIkzizyAmahe,balam+parIkzizyAmahe
viBIzaRaHyadAjYApayati,viBIzaRaHyad+AjYApayati
yaTEva,yaTA+eva
caturTo'NkaH,caturTaH+aNkaH
paYcamo'NkaH,paYcamaH+aNkaH
rAkzasakAYcukIyaHka iha,rAkzasakAYcukIyaHkaH+iha
praviSyAnyo rAkzasaH,praviSyAnyaH+rAkzasaH
ayamasmi,ayam+asmi
prAptasyedAnImapi,prAptasyedAnIm+api
calattaraNgAhataBImavelamudIrRanakrAkulanIlanIram,calattaraNgAhataBImavelam+udIrRanakrAkulanIlanIram
dArapradAnAnna,dArapradAnAt+na
rAGaveRAdya,rAGaveRa+adya
evamapi,evam+api
madanavaSagato mahAnayArTaM,madanavaSagataH+mahAnayArTaM
suKamAryasya,suKam+Aryasya
vaSamAgatA,vaSam+AgatA
pOlastyamASu,pOlastyam+ASu
rAGavamAhave,rAGavam+Ahave
kimanayA,kim+anayA
KalvatulabalatA,Kalu+atulabalatA
nayanAnyAlokya,nayanAni+Alokya
nirjitavizwapatrayaBujo nirjIyate,nirjitavizwapatrayaBujaH+nirjIyate
tvamaravindapalASanetre,tvam+aravindapalASanetre
me'dya,me+adya
Kalvasi,Kalu+asi
yo mandaraM,yaH+mandaraM
tayormAnuzayoH,tayoH+mAnuzayoH
tayormAnuzayoH,tayoH+mAnuzayoH
mAnuze'smin,mAnuze+asmin
adyEva,adya+eva
SriyamApnuhi,Sriyam+Apnuhi
Kalvasmi,Kalu+asmi
gato'si,gataH+asi
yAvanna,yAvat+na
mAmapi,mAm+api
vyaktamindrajitA,vyaktam+indrajitA
rAmeReti,rAmeRa+iti
nAvekzitam,na+avekzitam
kftaM manujatApasena,kftam+manujatApasena
rAkzasaHSrotumarhati,rAkzasaHSrotum+arhati
tvAmaBiBUya,tvAm+aBiBUya
salakzmaRenAdya,salakzmaRena+adya
sutaste,sutaH+te
jitA yena,jitAH+yena
so'pi,saH+api
nABiDIyate,na+aBiDIyate
sarvajagatAM jvarakft,sarvajagatAm+jvarakft
vAsavajidAnatavEricakra,vAsavajit+AnatavEricakra
mAmiha,mAm+iha
gato'si,gataH+asi
mohamupagataH,moham+upagataH
prApito hatakena,prApitaH+hatakena
idAnImanarTahetuBUtayA,idAnIm+anarTahetuBUtayA
kimanayA,kim+anayA
adyApi,adya+api
Bayavihvalo'si,BayavihvalaH+asi
idAnImapi,idAnIm+api
vatsenendrajitA,vatsena+indrajitA
rAjanyantaH,rAjani+antaH
jitavatAM BavatAm,jitavatAm+BavatAm
Bartaryatra,Bartari+atra
jYAyatAM vfttAntaH,jYAyatAm+vfttAntaH
rAkzasaHyadAjYApayati,rAkzasaHyad+AjYApayati
eza hi,ezaH+hi
sutaM te,sutam+te
rAja,rAjan+
rAvaRaHsahasotTAya,rAvaRaHsahasA+utTAya
kvAsO,kva+asO
kvAsO,kva+asO
asimudyamya,asim+udyamya
alamatisAhasena,alam+atisAhasena
rAvaRasyAcireRa,rAvaRasya+acireRa
bahavo BrAtaraH,bahavaH+BrAtaraH
suhfdaSca,suhfdaH+ca
hfdayaM BittvA,hfdayam+BittvA
sakalavAnarakulaM DvaMsayAmi,sakalavAnarakulam+DvaMsayAmi
avaSyaM ca,avaSyam+ca
strIvaDo na,strIvaDaH+na
syandanamAnaya,syandanam+Anaya
rAkzasaHyadAjYApayati,rAkzasaHyad+AjYApayati
idaM syandanam,idam+syandanam
rAvaRaHraTamAruhya,rAvaRaHraTam+Aruhya
surEradya,surEH+adya
saparivAro rAvaRaH,saparivAraH+rAvaRaH
vijayo Bavatu,vijayaH+Bavatu
paYcamo'NkaH,paYcamaH+aNkaH
zazWo'NkaH,zazWaH+aNkaH
vidyADarAstrayaH,vidyADarAH+trayaH
smo Bo,smaH+Bo
vayaM himavataH,vayam+himavataH
nirantaraM naBaH,nirantaram+naBaH
svEramekAnte,svEram+ekAnte
udaDiriva,udaDiH+iva
dvitIyaHevametat,dvitIyaHevam+etat
muzwiprahArErhatAH,muzwiprahArEH+hatAH
ivASu,iva+ASu
cApi,ca+api
drazwavyA BavadByAM,drazwavyAH+BavadByAm
kroDavisPAritAkzA,kroDavisPAritAkzAH+
vimalavikftadaMzwrA nIlajImUtakalpAH,vimalavikftadaMzwrAH+nIlajImUtakalpAH
harigaRapatisEnyaM hantukAmAH,harigaRapatisEnyam+hantukAmAH
samantAd,samantAt+
raBasavivftavaktrA rAkzasAH,raBasavivftavaktrAH+rAkzasAH
rAkzasErvAnarezu,rAkzasEH+vAnarezu
dvitIyaHSElA kzipyante,dvitIyaHSElAH+kzipyante
vAnarErnErftezu,vAnarEH+nErftezu
praTamaHrAvaRamapi,praTamaHrAvaRam+api
paSyetAM BavantO,paSyetAm+BavantO
syandanaM vAhayantam,syandanam+vAhayantam
SaSANkaM,SaSANkam+
grahamiva,graham+iva
rAmamAlokya,rAmam+Alokya
dvitIyaHrAmamapi,dvitIyaHrAmam+api
paSyetAM BavantO,paSyetAm+BavantO
cApamavalambya,cApam+avalambya
vIramanyena,vIram+anyena
sAyakavaraM parivartayantam,sAyakavaram+parivartayantam
krOYcaM yaTA,krOYcam+yaTA
girivaraM yuDi,girivaram+yuDi
nipAtitAM dfzwvA,nipAtitAm+dfzwvA
varzamaBivarzati,varzam+aBivarzati
bARaDArA vinissftAH,bARaDArAH+vinissftAH
rAmamAsAdya,rAmam+AsAdya
vfzaM yaTA,vfzam+yaTA
tftIyaHeza ezaH,tftIyaHezaH+ezaH
tIkzRamudyamya,tIkzRam+udyamya
SIGraM,SIGram+
bARajAlaM viDunvan,bARajAlam+viDunvan
rAvaRaM yAti,rAvaRam+yAti
padByAM,padByAm+
gajapatimiva,gajapatim+iva
tIkzRadaMzwro mfgendraH,tIkzRadaMzwraH+mfgendraH
jvalita iva,jvalitaH+iva
Kalvidam,Kalu+idam
mAtalivAhito raTaH,mAtalivAhitaH+raTaH
mAtaliM dfzwvA,mAtalim+dfzwvA
raTamArUQavAn,raTam+ArUQavAn
tftIyaHeza hi,tftIyaHezaH+hi
suravarajayadarpadeSike'smin,suravarajayadarpadeSike+asmin
saM,san+
pravfttaM yudDam,pravfttam+yudDam
SaravaraparipItatIvrabARaM,SaravaraparipItatIvrabARam+
virataviviDaSastrapAtamete,virataviviDaSastrapAtam+ete
sTitASca,sTitAH+ca
cAriBiretO,cAriBiH+etO
sUryAviva,sUryO+iva
tftIyaHrAvaRamapi,tftIyaHrAvaRam+api
paSyetAM BavantO,paSyetAm+BavantO
cApi,ca+api
balenABihatya,balena+aBihatya
nadantaM,nadantam+
BfSaM BIzayantam,BfSam+BIzayantam
praTamaHeza hi,praTamaHezaH+hi
bARamavekzya,bARam+avekzya
raktanayano maDyAhnasUryapraBaH,raktanayanaH+maDyAhnasUryapraBaH
vyaktaM mAtalinA,vyaktam+mAtalinA
pEtAmahaM pArTivaH,pEtAmaham+pArTivaH
dvitIyaHetadastraM,dvitIyaHetad+astram
raGuvaraBujavegavipramuktaM,raGuvaraBujavegavipramuktam+
rajanicaravaraM nihatya,rajanicaravaram+nihatya
punaraBigacCati,punaH+aBigacCati
rAmameva,rAmam+eva
nipAtito rAvaRaH,nipAtitaH+rAvaRaH
nihataM dfzwvA,nihatam+dfzwvA
puzpavfzwirnipAtitA,puzpavfzwiH+nipAtitA
etA nadanti,etAH+nadanti
BeryastridivasadmanAm,BeryaH+tridivasadmanAm
sidDaM devakAryam,sidDam+devakAryam
praTamaHtadAgamyatAm,praTamaHtad+AgamyatAm
vayamapi,vayam+api
rAmaM samBAvayizyAmaH,rAmam+samBAvayizyAmaH
madbARavegArditaM,madbARavegArditam+
cApi,ca+api
laNkeSvaraM sAmpratam,laNkeSvaram+sAmpratam
pratijYArRavaM,pratijYArRavam+
laNkAmaByupayAmi,laNkAm+aByupayAmi
sItAM samASvAsitum,sItAm+samASvAsitum
lakzmaRaHjayatvAryaH,lakzmaRaHjayatu+AryaH
samIpamupasarpati,samIpam+upasarpati
apAyAcca,apAyAt+ca
uzitAyA ripukzaye,uzitAyAH+ripukzaye
manyurme,manyuH+me
rAjaMstava,rAjan+tava
dEtyakulacyuteva,dEtyakulacyutA+iva
tatrEva,tatra+eva
ikzvAkukulasyANkaBUtA,ikzvAkukulasya+aNkaBUtA
pitaramuddiSya,pitaram+uddiSya
yuktaM Bo,yuktam+Bo
mAM drazwum,mAm+drazwum
majjamAnamakAryezu,majjamAnam+akAryezu
puruzaM vizayezu,puruzam+vizayezu
yo rAjan,yaH+rAjan
ripuranyaTA,ripuH+anyaTA
rAmaHnArhati,rAmaHna+arhati
BavAnataH,BavAn+ataH
paraM pIqayitum,param+pIqayitum
lakzmaRaHjayatvAryaH,lakzmaRaHjayatu+AryaH
pratipAlayatyAryA,pratipAlayati+AryA
SOcaM ca,SOcam+ca
cAryasya,ca+Aryasya
budDirdolAyate,budDiH+dolAyate
ko'tra,kaH+atra
Saktirasti,SaktiH+asti
kiM tarkayati,kim+tarkayati
lakzmaRaHnizPalo mama,lakzmaRaHnizPalaH+mama
gacCAmastAvat,gacCAmaH+tAvat
hanUmAnyadAjYApayati,hanUmAnyad+AjYApayati
lakzmaRaHprasIdatvAryaH,lakzmaRaHprasIdatu+AryaH
AScaryamAScaryam,AScaryam+AScaryam
hyAryA,hi+AryA
Sramamiha,Sramam+iha
nizPalaM ca,nizPalam+ca
yaTEva,yaTA+eva
rAmaHAScaryamAScaryam,rAmaHAScaryam+AScaryam
kanakamAleva,kanakamAlA+iva
jvalanAd varDitapraBA,jvalanAt+varDitapraBA
pAvakaM prApya,pAvakam+prApya
nirvikAramupAgatA,nirvikAram+upAgatA
kimiti,kim+iti
kimiti,kim+iti
ko nu,kaH+nu
jIvantImAdAya,jIvantIm+AdAya
jvalato havyavAhanAt,jvalataH+havyavAhanAt
ayamAryAM,ayam+AryAM
evABivartate,eva+aBivartate
ayaM BagavAn,ayam+BagavAn
upasarpAmastAvat,upasarpAmaH+tAvat
praviSatyagniH,praviSati+agniH
sItAM gfhItvA,sItAm+gfhItvA
agniHeza BagavAn,agniHezaH+BagavAn
kartumarhati,kartum+arhati
imAM gfhRIzva,imAm+gfhRIzva
jAnakIM puruzottama,jAnakIm+puruzottama
lakzmIM jAnIhi,lakzmIm+jAnIhi
BavantamanuprAptA,Bavantam+anuprAptA
tanumAsTitA,tanum+AsTitA
rAmaHanugfhIto'smi,rAmaHanugfhItaH+asmi
jAnatApi,jAnatA+api
SucitAM DUmaketana,SucitAm+DUmaketana
pratyayArTaM hi,pratyayArTam+hi
divyaganDarvA gAyanti,divyaganDarvAH+gAyanti
namo Bagavate,namaH+Bagavate
hfdayaM jagattrayapate,hfdayam+jagattrayapate
rudraSca,rudraH+ca
kopastava,kopaH+tava
tvayeva,tvayA+eva
vizRurBavAn,vizRuH+BavAn
punarnepaTye,punaH+nepaTye
BuvanatrayaM surapate,Buvanatrayam+surapate
rUpamupasTitena,rUpam+upasTitena
sAmprataM,sAmpratam+
rAvaRamAhave,rAvaRam+Ahave
rAmaHanugfhIto'smi,rAmaHanugfhItaH+asmi
ito BavAn,itaH+BavAn
rAmaHyadAjYApayati,rAmaHyad+AjYApayati
jayatvAyuzmAn,jayatu+AyuzmAn
eza mahArAjaH,ezaH+mahArAjaH
devIM ca,devIm+ca
samastESca,samastEH+ca
kftABizeko viBAti,kftABizekaH+viBAti
naBasIva,naBasi+iva
KalvAryasya,Kalu+Aryasya
vEzRavaM tejaH,vEzRavam+tejaH
yamavaruRakuberavAsavAdyE,yamavaruRakuberavAsavAdyEH+
kftABizeka,kftABizekaH+
stridaSapatitvamavApya,tridaSapatitvam+avApya
vftraheva,vftrahA+iva
kftABizeko rAmaH,kftABizekaH+rAmaH
priyamicCatA,priyam+icCatA
dEvagatiM gatena,dEvagatim+gatena
sAmprataM,sAmpratam+
etA hi,etAH+hi
mahendraniyogAd BarataSatruGnapuraHsarAH,mahendraniyogAt+BarataSatruGnapuraHsarAH
BavantamupasTitAH,Bavantam+upasTitAH
prahfzwo'smi,prahfzwaH+asmi
BavantamaBivarDayanti,Bavantam+aBivarDayanti
rAmaHanugfhIto'smi,rAmaHanugfhItaH+asmi
kiM te,kim+te
priyamupaharAmi,priyam+upaharAmi
kimataH,kim+ataH
paracakraM praSAmyatu,paracakram+praSAmyatu
imAmapi,imAm+api
kftsnAM rAjasiMhaH,kftsnAm+rAjasiMhaH
zazWo'NkaH,zazWaH+aNkaH
aBizekanAwakaM samAptam,aBizekanAwakam+samAptam
dvitIyo BAgaH,dvitIyaH+BAgaH
hetuvadABAsamAnA,hetuvat+ABAsamAnA
Darmyeva,Darme+eva
hetvABAsapadavAcya iti,hetvABAsapadavAcyaH+iti
anumitIti,anumiti+iti
saMgraho Bavati,saMgrahaH+Bavati
tadasaMgrahApatteH,tat+asaMgrahApatteH
upADijYAnasyApi,upADijYAnasya+api
tatrAtivyAptyApatteH,tatra+ativyAptyApatteH
yaTokte,yaTA+ukte
upADijYAne'pi,upADijYAne+api
