aM gaRAya,am+gaRAya
atItakiMcitsvASrayAsamAnakAlInatvamidAnImutpannasya,atItakiMcitsvASrayAsamAnakAlInatvam+idAnIm+utpannasya
atItatvavartamAnatvAvikalpAnupapatterityarTe,atItatvavartamAnatvAvikalpAnupapatteH+ityarTe
atItaprAgaBAvatvavadityarTaH,atItaprAgaBAvatvavat+ityarTaH
atItasyopaBuktatvAdvartamAnasyApyupaBogaM vinA,atItasya+upaBuktatvAt+vartamAnasya+api+upaBogam+vinA
atItAnAgatakulasamudDAraM dadAmi,atItAnAgatakulasamudDAram+dadAmi
atIndriyatvamate'pyasmadAderyAgAdikartfkatvam,atIndriyatvamate+api+asmadAdeH+yAgAdikartfkatvam
atIndriyapadenEva,atIndriyapadena+eva
atIndriyAtiSayAnaByupagamanibanDanAyA na,atIndriyAtiSayAn+aByupagamanibanDanAyAH+na
atIvanipuRo nawaH,atIvanipuRaH+nawaH
atIvahfzwo baBUva,atIvahfzwaH+baBUva
atIvAsUyAM baBAra,atIvAsUyAm+baBAra
atIvotpAtI,atIva+utpAtI
ato gacCAmi,ataH+gacCAmi
ato gatibudDItisUtraM gatibudDItisUtraM niyamArTam,ataH+gatibudDItisUtram+gatibudDItisUtram+niyamArTam
ato gurURA'pyuktarUpeRa,ataH+gurURA+api+uktarUpeRa
ato GawakarmatvAdirUpaKaMqa,ataH+GawakarmatvAdirUpaKaMqa
ato GawapratyakzaM GawapratyakzaM prati,ataH+Gawapratyakzam+Gawapratyakzam+prati
ato GawapratyakzaM GawapratyakzaM pratyeva,ataH+Gawapratyakzam+Gawapratyakzam+prati+eva
ato GawAdipadAt,ataH+GawAdipadAt
ato Gawo Gawo nIlaGawa,ataH+GawaH+GawaH+nIlaGawa
ato jagadISapurasya,ataH+jagadISapurasya
ato jAtyaBAvo jAtyaBAvo jAtivfttirityeva,ataH+jAtyaBAvaH+jAtyaBAvaH+jAtivfttiH+ityeva
ato daSEva,ataH+daSEva
ato dillISvarasya,ataH+dillISvarasya
ato dIyatAM dIyatAM me'vakASa,
ato durjanatvaviroDinaM durjanatvaviroDinaM vyaBicAramAhzitIti,ataH+durjanatvaviroDinam+durjanatvaviroDinam+vyaBicAram+Ahziti+iti
ato dUre'vatizWeta,ataH+dUre+avatizWeta
ato devatApUjanArTaM,ataH+devatApUjanArTaM
ato dravyatvaDarmitAvacCedakABeda,ataH+dravyatvaDarmitAvacCedakABeda
ato dvitIyArTa,ataH+dvitIyArTa
ato dvitvAdinizWA,ataH+dvitvAdinizWA
ato DarmamArgeRa,ataH+DarmamArgeRa
ato nAnayoraBedaH,ataH+na+anayoH+aBedaH
ato nAnityadozatA,ataH+na+anityadozatA
ato nAmnA,ataH+nAmnA
ato nAhamaByantaramemi,ataH+na+aham+aByantaram+emi
ato nA''vayorgfhajanA,ataH+na+AvayoH+gfhajanA
ato nitAntamakapawena,ataH+nitAntam+akapawena
ato nimittABAve,ataH+nimittABAve
ato nizeDaSAstragamyamiti,ataH+nizeDaSAstragamyam+iti
ato nEkapurUzIya,ataH+na+ekapurUzIya
ato nEza nEza puraskAraBAjanam,ataH+nEza+nEza+puraskAraBAjanam
ato noktadozaH,ataH+na+uktadozaH
ato noktadozaprasaNga noktadozaprasaNga iti,ataH+na+uktadozaprasaNgaH+na+uktadozaprasaNgaH+iti
ato noktadozaprasaNgaH,ataH+na+uktadozaprasaNgaH
ato nyUnAtinyUnaM,ataH+nyUnAtinyUnaM
ato bahiH,ataH+bahiH
ato boDaBedena,ataH+boDaBedena
ato BavadAjYA,ataH+BavadAjYA
ato BojanAya,ataH+BojanAya
ato manmftyonantaram,ataH+manmftyonantaram
ato mahArAjasya,ataH+mahArAjasya
ato muKyakAraRatvApratibanDakaSaktyoH,ataH+muKyakAraRatvApratibanDakaSaktyoH
ato yAvadanya,
ato yUyamekamanaso yUyamekamanaso BUtvA,ataH+yUyam+ekamanasaH+yUyam+ekamanasaH+BUtvA
ato rAjapadasya,ataH+rAjapadasya
ato vaqavA vaqavA api,ataH+vaqavAH+vaqavAH+api
ato varRAnAM,ataH+varRAnAM
ato vAstavavat,ataH+vAstavavat
ato vinamraM,ataH+vinamraM
ato vipakzavftteH,ataH+vipakzavftteH
ato viBaktyarTasya,ataH+viBaktyarTasya
ato viSezaRatAvacCedakIBUtanIlatva,ataH+viSezaRatAvacCedakIBUtanIlatva
ato viSezaDarmaM,ataH+viSezaDarmam
ato vizaye'smin,ataH+vizaye+asmin
ato vEdahiMsAyAM,ataH+vEdahiMsAyAM
ato vyAptyA,ataH+vyAptyA
ato vrIhAveva,ataH+vrIhAveva
ato hime'sminseveta,ataH+hime+asmin+seveta
ato horAcatuzwayam,ataH+horAcatuzwayam
atopyanIcakarmArTaM yojyAstiTyAdayo yojyAstiTyAdayo buDEH,ataH+api+anIcakarmArTam+yojyAH+tiTyAdayaH+yojyAH+tiTyAdayaH+buDEH
atovfttivizayasakalasaMsargA'saMgrAhakaM AkANkzABAsyasakalasaMsargasaMgrAhakaM AkANkzABAsyasakalasaMsargasaMgrAhakaM paricAyakamAha,ataH+vfttivizayasakalasaMsargA+asaMgrAhakam+AkANkzABAsyasakalasaMsargasaMgrAhakam+AkANkzABAsyasakalasaMsargasaMgrAhakam+paricAyakam+Aha
ato'dfzwAdikAraRavizayaviSizwajYAnavAneva,ataH+adfzwAdikAraRavizayaviSizwajYAnavAn+eva
ato'dyEvABijinmuhUrte,ataH+adyEva+aBijit+muhUrte
ato'ntimAya,ataH+antimAya
ato'pyaDIyatAm,ataH+api+aDIyatAm
ato'prAmARyaSaNkA'pi,ataH+aprAmARyaSaNkA+api
ato'BinIyasya,ataH+aBinIyasya
ato'BimAnipuruze,ataH+aBimAnipuruze
ato'valambakaH,ataH+avalambakaH
ato'sminpawukawvamlavyAyAmArkakarAMstyajet,ataH+asmin+pawukawvamlavyAyAmArkakarAn+tyajet
ato'hamaparAn,ataH+aham+aparAn
ato'hamAtmAnaM,ataH+aham+AtmAnaM
ato'hametAH,ataH+aham+etAH
atyagnizwoma ukTaSca,atyagnizwomaH+ukTaH+ca
atyagnizwomakaM cokTaM cokTaM zoqaSIM zoqaSIM vAjapeyakam,atyagnizwomakam+ca+ukTam+ca+ukTam+zoqaSIm+zoqaSIm+vAjapeyakam
atyadButamasti,atyadButam+asti
atyantaM sarvadAvasTAnamityanena,atyantam+sarvadAvasTAnam+ityanena
atyantaprAyEkadeSasADarmyAdupamAnAsidDiHgOsU,atyantaprAyEkadeSasADarmyAt+upamAnAsidDiHgOsU
atyantaBedAdaviSezAnupapattirityata Aha asidDatveneti,atyantaBedAt+aviSezAnupapattiH+iti+ataH+Aha+asidDatvena+iti
atyantABAvapadaM pratiyogivyaDikaraRABAvaparaM pratiyogivyaDikaraRABAvaparaM boDyam,atyantABAvapadam+pratiyogivyaDikaraRABAvaparam+pratiyogivyaDikaraRABAvaparam+boDyam
atyantAsatyapi,atyantAsati+api
atyarTaM BAvayeddevaM BAvayeddevaM jYAnaKaqgakaro jYAnaKaqgakaro guruH,atyarTam+BAvayet+devam+BAvayet+devam+jYAnaKaqgakaraH+jYAnaKaqgakaraH+guruH
atyarTaduzwAstu,atyarTaduzwAH+tu
atyarTasaYcitAsto hi,atyarTasaYcitAstaH+hi
atyalpenApi,atyalpena+api
atyaSrupAtena,ati+aSrupAtena
atyAcAraGawanAmimAm,atyAcAraGawanAm+imAm
atyAcAraparo vA,atyAcAraparaH+vA
atyAcAravivarDite'Ta,atyAcAravivarDite+aTa
atyADunike'pi,atyADunike+api
atyASito'DftiH,atyASitaH+aDftiH
atyudDUto vAyuH,atyudDUtaH+vAyuH
atraGawostItivAkyaprayogastu,atraGawaH+asti+itivAkyaprayogaH+tu
atraGawostItyasya,atratAt+avasTyItyasya
atratyajanastu,atratyajanaH+tu
atratyA janA janA api,atratyAH+janAH+janAH+api
atratyAstu,atratyA
atraBavanta eva,atraBavantaH+eva
atraBedasyA'vyApya,atraBedasya+avyApya
atraye'Ta,atraye+aTa
atrasTA BUmipatayastu,atrasTAH+BUmipatayaH+tu
atrAkASapadADInaSAbdaboDasya,atra+AkASapadADInaSAbdaboDasya
atrAkASO,atra+AkASO
atrAgataH,atra+AgataH
atrAgatA,atra+AgatA
atrAgatya,atra+Agatya
atrAgamanAt,atra+AgamanAt
atrAdfzwottaratvamadfzwADikaraRakzaRottaravartitvamAtram,atra+adfzwottaratvam+adfzwADikaraRakzaRottaravartitvamAtram
atrAdyaduHKapadamapi,atra+AdyaduHKapadam+api
atrAdyAH,atra+AdyAH
atrAnantarBUtatvAdADikyam,atra+anantarBUtatvAt+ADikyam
atrAnupapattivirahAdityeva,atra+anupapattivirahAdityeva
atrAnumitipratibanDakatvaM nAnumitisAmAnyapratibanDakatvam,atra+anumitipratibanDakatvam+na+anumitisAmAnyapratibanDakatvam
atrAnurUpaM,atra+anurUpaM
atrAnuzRa ityuzRasparSapratizeDo'yam,atra+anuzRaH+iti+uzRasparSapratizeDaH+ayam
atrAnEkAntikasAmAnyalakzaRAyogaH,atra+anEkAntikasAmAnyalakzaRAyogaH
atrAntarikaSAntistu,atrAntarikaSAntiH+tu
atrAnyadityaDyAhAryaM arTAntaramiti,atra+anyat+ityaDyAhAryam+arTAntaram+iti
atrApyaDikabalopasTityA,atra+api+aDikabalopasTityA
atrApyanvayitA'vacCedakaGawatvAdinA'nupasTitaGawatvAdO,atra+api+anvayitA'vacCedakaGawatvAdinA+anupasTitaGawatvAdO
atrApyayogibAhyendriyagrAhyatvameva,atra+api+ayogibAhyendriyagrAhyatvam+eva
atrApyuktadIDitikftaBAvavarRanamanusarttavyam,atra+api+uktadIDitikftaBAvavarRanam+anusarttavyam
atrABavizyaMstarhi,atra+aBavizyan+tarhi
atrABAvapadenA''hAryatvABAva,atra+aBAvapadenA''hAryatvABAva
atrAyaM saMSayaH,atrAyam+saMSayaH
atrAyaM,atra+ayaM
atrArTAnuyogikapadapratiyogikapadAnuyogikArTapratiyogikayoH,atra+arTAnuyogikapadapratiyogikapadAnuyogikArTapratiyogikayoH
atrAvatIrya,atra+avatIrya
atrAviSvAsasya,atra+aviSvAsasya
atrAvyaBicArapratyakzatvaM pratibaDyatAvacCedakaM pratibaDyatAvacCedakaM boDyam,atra+avyaBicArapratyakzatvam+pratibaDyatAvacCedakam+pratibaDyatAvacCedakam+boDyam
atrAsADAraRakAraRaBUtAnAM,atra+asADAraRakAraRaBUtAnAM
atrAsADAraRasya,atra+asADAraRasya
atrAsInmahat,atra+AsIt+mahat
atrAsmadaDyApakAH,atra+asmat+aDyApakAH
atrAsmin,atra+asmin
atrAhuH,atra+AhuH
atrAhuradvEtavidyAvido DuranDarAH,atra+AhuH+advEtavidyAvidaH+DuranDarAH
atrAhuriti,atra+AhuH+iti
atrAhuriti,atrAhuH+iti
atrA'ntare'prabudDane,atrAntare+aprabudDane
atrA'pyupanayo'yaM,atra+api+upanayaH+ayaM
atrA'BedasaMsargaka,atra+aBedasaMsargaka
atrA'vasare,atra+avasare
atrA''DAraScA''DeyaSca,atra+ADAraSca+ADeyaH+ca
atrA''pAdyaH,atra+ApAdyaH
atretiga,atra+itiga
atredaM iyamAkAMkzA,atra+idam+iyam+AkAMkzA
atredaM cintyate,atra+idam+cintyate
atredaM cintyam bADajYAnABAvahetutAyAmananyaTAsidDatvamAtraM cintyam bADajYAnABAvahetutAyAmananyaTAsidDatvamAtraM kalpanIyam,atra+idam+cintyam+bADajYAnABAvahetutAyAm+ananyaTAsidDatvamAtram+cintyam+bADajYAnABAvahetutAyAm+ananyaTAsidDatvamAtram+kalpanIyam
atredaM cintyam yAvadvizayatvena,atra+idam+cintyam+yAvat+vizayatvena
atredaM cintyam vyatirekasahacArAdanvavyAptigrahapakze'pi,atra+idam+cintyam+vyatirekasahacArAt+anvavyAptigrahapakze+api
atredaM cintyam,atra+idam+cintyam
atredaM pratiBAti,atra+idam+pratiBAti
atredaM boDyam,atra+idam+boDyam
atredaM rahasyaM rahasyaM ,atra+idam+rahasyam+rahasyam+
atredaM samADIyate,atra+idam+samADIyate
atredaMboDyam,atredam+boDyam
atredamAlocanIyam yajjYAne,atra+idam+AlocanIyam+yat+jYAne
atredamAlocanIyam satpratipakzasTale,atra+idam+AlocanIyam+satpratipakzasTale
atredamAlocanIyam,atra+idam+AlocanIyam
atredamAlocanIyamvahnivyaBicAre,atra+idam+AlocanIyamvahnivyaBicAre
atrerASrame'dya,atreH+ASrame+adya
atrEkavAkyatvABAve,atra+ekavAkyatvABAve
atrEvAntargatA,atra+eva+antargatA
atrEvArzamantarBUtam,atra+eva+Arzam+antarBUtam
atrEvoddeSyatA'vacCedakavyApakatvaniveSaPalaM drazwavyam,atra+eva+uddeSyatA'vacCedakavyApakatvaniveSaPalam+drazwavyam
atroktAnupapattiriti,atra+uktAnupapattiH+iti
atrocyata iti,atra+ucyate+iti
atrocyata,atra+ucyata
atrocyate,atra+ucyate
atrocyateiti,atra+ucyateiti
atroddeSyatAvacCedakaM cEtratvamEtratvaM cEtratvamEtratvaM ca,atra+uddeSyatAvacCedakam+cEtratvamEtratvam+cEtratvamEtratvam+ca
atrodyAne,atra+udyAne
atropalakzaRIBUtaDarmAvacCinnatayA'nugatanAnADarmaviSizwe,atra+upalakzaRIBUtaDarmAvacCinnatayA+anugatanAnADarmaviSizwe
atropasTitASca,atra+upasTitAH+ca
atropADyAyoktadozaM nirAkaroti etaditi,atra+upADyAyoktadozam+nirAkaroti+etat+iti
atyantameva,atyantam+eva
atyuccaSikzayodvAha,
aTavAjYAnanivfttireva,aTavA+ajYAnanivfttiH+eva
aTavArkacaturviMSazawtriMSanmAlikA,aTavA+arkacaturviMSazawtriMSanmAlikA
aTavASvasamArUQaH,aTavA+aSvasamArUQaH
aTavASvasTitaH,aTavA+aSvasTitaH
aTavA'nyatkimapi,aTavA+anyat+kimapi
aTavEtad dAsyAmi,aTavA+etat+dAsyAmi
aTaSabdasyAnantare,aTaSabdasya+anantare
aTAjYAyamAnakartfkatvaM,aTa+ajYAyamAnakartfkatvaM
aTAta ftucaryADyAyaM,aTa+ataH+ftucaryADyAyaM
aTAtaH,aTaH+ataH
aTAtastarpaRapuwapAkaviDimaDyAyaM,aTa+ataH+tarpaRapuwapAkaviDim+aDyAyaM
aTAtucCaM sakalakAryakAraRaBUtAdfzwAdyaBijYaM sakalakAryakAraRaBUtAdfzwAdyaBijYaM tatprerakaM tatprerakaM vA'NgIkriyate,aTAtucCam+sakalakAryakAraRaBUtAdfzwAdi+aBijYam+sakalakAryakAraRaBUtAdfzwAdi+aBijYam+tatprerakam+tatprerakam+vA+aNgIkriyate
aTAto AScotanAYjanaviDimaDyAyaM,aTa+ataH+AScotanAYjanaviDim+aDyAyaM
aTAto gaRqUzAdiviDimaDyAyaM,aTa+ataH+gaRqUzAdiviDim+aDyAyaM
aTAto dinacaryADyAyaM,aTa+ataH+dinacaryADyAyaM
aTAto dozaBedIyADyAyaM,aTa+ataH+dozaBedIyADyAyaM
aTAto dozAdivijYAnIyamaDyAyaM,aTa+ataH+dozAdivijYAnIyam+aDyAyaM
aTAto dozopakramaRIyamaDyAyaM,aTa+ataH+dozopakramaRIyam+aDyAyaM
aTAto dravadravyavijYAnIyamaDyAyaM,aTa+ataH+dravadravyavijYAnIyam+aDyAyaM
aTAto dravyAdivijYAnIyamaDyAyaM,aTa+ataH+dravyAdivijYAnIyam+aDyAyaM
aTAto dviviDopakramaRIyamaDyAyaM,aTa+ataH+dviviDopakramaRIyam+aDyAyaM
aTAto DUmapAnaviDimaDyAyaM,aTa+ataH+DUmapAnaviDim+aDyAyaM
aTAto nasyaviDimaDyAyaM,aTa+ataH+nasyaviDim+aDyAyaM
aTAto bastiviDimaDyAyaM,aTa+ataH+bastiviDim+aDyAyaM
aTAto brahmajijYAsA,aTAtaH+brahmajijYAsA
aTAto mAtrASitIyamaDyAyaM,aTa+ataH+mAtrASitIyam+aDyAyaM
aTAto yantraviDimaDyAyaM,aTa+ataH+yantraviDim+aDyAyaM
aTAto rasaBedIyamaDyAyaM,aTa+ataH+rasaBedIyam+aDyAyaM
aTAto vamanavirecanaviDimaDyAyaM,aTaH+ataH+vamanavirecanaviDim+aDyAyaM
aTAto viDiSudDena,aTa+ataH+viDiSudDena
aTAto'nnarakzADyAyaM,aTa+ataH+annarakzADyAyaM
aTAto'nnasvarUpavijYAnIyamaDyAyaM,aTa+ataH+annasvarUpavijYAnIyam+aDyAyaM
aTAtmagehinIM punastatkarRe,aTa+AtmagehinIm+punaH+tatkarRe
aTAtyantagAQapraSAntatA,aTa+atyantagAQapraSAntatA
aTADeyatAsaMsargAvacCinna,aTa+ADeyatAsaMsargAvacCinna
aTADvaga,
aTAnanyattadApyananyatvAdevAnyaM na,aTa+ananyat+tadA+api+ananyatvAt+eva+anyam+na
aTAnayA,aTa+anayA
aTAnavasTABayAd,aTa+anavasTABayAd
aTAnityatvaM sarvadA,aTa+anityatvam+sarvadA
aTAnunmIlayane,aTa+anunmIlayane
aTAnumitiM prati,aTa+anumitim+prati
aTAnumitilOkika,aTa+anumitilOkika
aTAnumityuktoBayarUpeRoBaya,aTa+anumiti+ukta+uBayarUpeRa+uBaya
aTAntaraNgapurezvavalokyamAnezu,aTAntaraNgapurezu+avalokyamAnezu
aTAnyAM SaktidIkzAM SaktidIkzAM vA,aTa+anyAm+SaktidIkzAm+SaktidIkzAm+vA
aTAnyedyurBawwasomadevaH,aTa+anyedyuH+BawwasomadevaH
aTAparAhRAtpratIkzamARo,aTa+aparAhRAt+pratIkzamARaH
aTApyaparARyanayA,aTa+api+aparARi+anayA
aTABizekaM,aTa+aBizekaM
aTArTAntaram,aTa+arTAntaram
aTArdDaM cullikAhome,aTa+ardDam+cullikAhome
aTAvaBAsato dEvImAtmIkftya,aTa+avaBAsataH+dEvIm+AtmIkftya
aTAvAhya,aTa+AvAhya
aTASrayAnavacCinnaPalASrayasyEva,aTa+ASrayAnavacCinnaPalASrayasya+eva
aTAsADAraRA imAH,aTa+asADAraRAH+imAH
aTAsyAM nAmakaraRaviDAyakaSrutO,aTa+asyAm+nAmakaraRaviDAyakaSrutO
aTAsmayA,aTa+asmayA
aTA'gfhItaSaNketAM,aTa+agfhItaSaNketAM
aTA'gfhItasaNgete,aTa+agfhItasaNgete
aTA'gfhItasaNketA,aTa+agfhItasaNketA
aTA'gfhItasaNketAM,aTa+agfhItasaNketAM
aTA'gfhItasaNkete,aTa+agfhItasaNkete
aTA'grata ekendriyanAmanagaramAgataM,aTa+agrataH+ekendriyanAmanagaram+AgataM
aTA'nekezu,aTa+anekezu
aTA'pratyAKyAniketi,aTa+apratyAKyAniketi
aTA'vicCinnaprayAREH,aTa+avicCinnaprayAREH
aTA'styekastatra,aTa+asti+ekaH+tatra
aTA''karRayA'gfhItasaNkete,aTa+AkarRaya+agfhItasaNkete
aTA''cAryeRa,aTa+AcAryeRa
aTA''dinA,aTa+AdinA
aTA''mamalasIBUtaM,aTa+Amam+alasIBUtaM
aTA''vayormEtrIM,aTa+AvayoH+mEtrIM
aTecCAvadanyapratyakzaM prati,aTa+icCAvat+anyapratyakzam+prati
aTetarA,aTa+itarA
aTetyAdinA''SaNkitaM samADatte,aTetyAdinA+ASaNkitam+samADatte
aTetyAdiSaNkAyAmityarTaH,aTa+ityAdiSaNkAyAm+ityarTaH
aTetyASaNkAnupapattiriti,aTa+iti+ASaNkAnupapattiH+iti
aTedAnIM nigrahasTAnAnyucyante,aTa+idAnIm+nigrahasTAnAni+ucyante
aTedAnIM so'marzAnmAM so'marzAnmAM cora cora iti,aTa+idAnIm+saH+amarzAt+mAm+saH+amarzAt+mAm+coraH+coraH+iti
aTeSvara,
aTeSvarakAraRatve,aTa+ISvarakAraRatve
aTeSvarecCArUpAyAH,aTa+ISvara+icCArUpAyAH
aTeslAmabAdanAmno,aTa+islAmabAdanAmna
aTEkatvAmaparatvayoryadi,aTa+ekatva+aparatvayoH+yadi
aTEkadA''nandapurodyAne,aTa+ekadA+AnandapurodyAne
aTEkapuruzoccaritaSabde'nyapuruzoccaritaSabdavEjAtyamanuBavasidDam,aTa+ekapuruzoccaritaSabde+anyapuruzoccaritaSabdavEjAtyam+anuBavasidDam
aTEkaScandananAmA,aTa+ekaScandananAmA
aTEkasmin,aTa+ekasmin
aTEkAkinI,aTa+ekAkinI
aTEtat,aTa+etat
aTEtadarTAvaboDAya,aTa+etat+arTAvaboDAya
aTEtadavalokyA''ScaryAkulamanAH,aTa+etat+avalokyA+AScarya+AkulamanAH
aTEtadavasare,aTa+etadavasare
aTEtadAkarRya,aTa+etat+AkarRya
aTEtadAkarRya,aTa+etadAkarRya
aTEtaddozaparijihIrzayA,aTa+etaddozaparijihIrzayA
aTEtaddozaparijihIrzayABivyaktaH,aTa+etaddozaparijihIrzayA+aBivyaktaH
aTEtaddozaparihArAya,aTa+etat+dozaparihArAya
aTEtanmata,aTa+etanmata
aTEnaM,aTa+enaM
aTEvaM padajYAnatvena,aTa+evam+padajYAnatvena
aTEvaM lAlanapAlanAByAM lAlanapAlanAByAM pozyamARA,aTa+evam+lAlanapAlanAByAm+lAlanapAlanAByAm+pozyamARA
aTEvaM viSezasAmagrIta,aTa+evam+viSezasAmagrIta
aTEvaM satyanumititvAderaparokza,aTa+evam+satyanumititvAdeH+aparok
aTEvaMviDaM,aTa+evaMviDaM
aTEvamapi,aTEvam+api
aTEvamapyanvayAnuBavA,aTa+evam+api+anvaya+anuBavA
aTEzAmavAntaraBedaM sodAharaRaM,aTa+ezAm+avAntaraBedam+sodAharaRaM
aToktaviBaktirAhityajYAnaM nApekzaRIyam,aTa+uktaviBaktirAhityajYAnam+na+apekzaRIyam
aTottAnarjudehasya,aTa+uttAnaH+judehasya
aTopamAnanirUpaRAdyAtmakAvaDyuparaktAnantaryasyATaSabdavAcyatve,aTa+upamAnanirUpaRAdyAtmakAvaDyuparaktAnantaryasya+aTaSabdavAcyatve
aTopavizwe,aTa+upavizwe
aToBayasEnyayoH,aTa+uBayasEnyayoH
aToBayasyApi,aTa+uBayasya+api
aToBayoH,aTa+uBayoH
adakziRaM Kalu,adakziRam+Kalu
adaRqo niraNkuSaSca,adaRqaH+niraNkuSaH+ca
adaRqyo daRqito daRqito yadi,adaRqyaH+daRqitaH+daRqitaH+yadi
adattaBUmipraveSapraDarzaRenAparAdDAhamAryaM SIrzeRa,adattaBUmipraveSapraDarzaRena+aparAdDA+aham+Aryam+SIrzeRa
adattAnuttIrRaparIkzARAmasmAkaM samezAM samezAM CAtrARAM CAtrARAM BavizyadanDakarAcCannaM BavizyadanDakarAcCannaM pratipannam,adattAn+uttIrRaparIkzARAm+asmAkam+samezAm+samezAm+CAtrARAm+CAtrARAm+Bavizyat+anDakarAcCannam+Bavizyat+anDakarAcCannam+pratipannam
adIyamAnaM KalvahamIdfSena,adIyamAnam+Kalu+aham+IdfSena
adfQasnehakozWastu,adfQasnehakozWaH+tu
adfSyasyApi,adfSyasya+api
adfSyo Bavati,adfSyaH+Bavati
adfzwajanakatvopAdAnaM datte,adfzwajanakatvopAdAnam+datte
adfzwajanaketi,adfzwajanaka+iti
adfzwadvArAraRamitiga,adfzwadvArAraRam+itiga
adfzwaprAgaBAveti,adfzwaprAgaBAva+iti
adfzwavadAtmasaMyogabalAdeva,adfzwavat+AtmasaMyogabalAt+eva
adfzwavadAtmasaMyogamAdAya,adfzwavadAtmasaMyogam+AdAya
adfzwasyeti,adfzwasya+iti
adfzwAjanakatvaM svajanakAdfzwAdvArakatvaM svajanakAdfzwAdvArakatvaM smartavyam,adfzwAjanakatvam+svajanakAdfzwAdvArakatvam+svajanakAdfzwAdvArakatvam+smartavyam
adfzwAdivaSAtkarmakArakaM vizayastajjanitaM vizayastajjanitaM jYAnaM jYAnaM vizayIti,adfzwAdivaSAtkarmakArakam+vizayastajjanitam+vizayastajjanitam+jYAnam+jYAnam+vizayI+iti
adfzwAdvArakaM ca,adfzwAdvArakam+ca
adfzwAdvArakatvaviSezaRaM prAmARikamiti,adfzwAdvArakatvaviSezaRam+prAmARikam+iti
adfzwAdvArakatvenoktadozABAvAt,adfzwAdvArakatvena+uktadozABAvAt
adfzwAdvArakapadamahimnEvopAdAnapadasya,adfzwAdvArakapadamahimna+eva+upAdAnapadasya
adfzwAdvArakARAmiti,adfzwAdvArakARAm+iti
adfzwAdvArakopAdAnagocarakftitvAvacCinnajanakatApratiyogiBinnatvaM vivakzitam,adfzwAdvArakopAdAnagocarakftitvAvacCinnajanakatApratiyogiBinnatvam+vivakzitam
adfzwArTakatvakalpanAyAM ca,adfzwArTakatvakalpanAyAm+ca
adfzwArTastu,adfzwArTaH+tu
adfzwArTAnAM punaruktoktatvena,adfzwArTAnAm+punaH+uktoktatvena
adfzwArTAnAM prAmARyaniScaya prAmARyaniScaya iti,adfzwArTAnAm+prAmARyaniScayaH+prAmARyaniScayaH+iti
adfzweti,adfzwa+iti
adfzwe'rke,adfzwe+arke
adfzwo,adfzwaH+
adBiramlavipAkABirozaDIBiSca,adBiH+amlavipAkABiH+ozaDIBiH+ca
adButamidam,adButam+idam
adyaeva,adya+eva
adyaparyantamIdfSaH,adyaparyantam+IdfSaH
adyapraBftyasmAkaM,adyapraBfti+asmAkaM
adyayAvatsaH,adyayAvat+saH
adyAgate,adya+Agate
adyAddravyaM,adyAt+dravyaM
adyABimanyuniDanAjjanitaprakopaH,adya+aBimanyuniDanAt+janitaprakopaH
adyAraBya,adya+AraBya
adyAraByAhaM tvayi,adya+AraBya+aham+tvayi
adyArDarAtre'smAkaM kuwumbinyA,adya+arDarAtre+asmAm+kuwumbinyA
adyAvakASo'sti,adyAvakASaH+asti
adyAvaDyupekzitaM mayA,adyAvaDi+upekzitam+mayA
adyAsimannasmAkameva,adya+asmin+asmAkam+eva
adyAsmatgfhe,adya+asmatgfhe
adyAsmyahamanDo yo'hamanvezwavye,adya+asmi+aham+anDaH+yaH+aham+anvezwavye
adyAhaM nirRayaM nirRayaM vAYCAmi,adya+aham+nirRayam+nirRayam+vAYCAmi
adyAhamekAkyalAuddInasya,adya+aham+ekAkI+alAuddInasya
adyA'pyutkampaM,adyA'pi+utkampaM
adyA'pyekadinA'vaDi asya,adyA'pi+ekadinA'vaDiH+asya
adyA''leKasya,adya+AleKasya
adyedamativizaRRamivA'lokyate,adya+idam+ativizaRRam+iva+Alokyate
adyedamativizaRRamivA'vAlokyata,adya+idam+ativizaRRam+iva+ava+Alokyata
adyEkAkinA'nena,adya+ekAkinA+anena
adyEvAhamanfRA,adyEva+aham+anfRA
adyEvotsave,adya+eva+utsave
adyotpannamivAtmAnamavagacCAmi,adya+utpannam+iva+AtmAnam+avagacCAmi
advizWapadasyAvyAsajyavfttyarTakatvAt,advizWapadasya+avyAsajyavfttyarTakatvAt
advEtavAdinAM vedAntinAM vedAntinAM dvEtavAdApatteriti,advEtavAdinAm+vedAntinAm+vedAntinAm+dvEtavAda+ApatteH+iti
aDamastrIyaM,aDamastrI+iyaM
aDarottaraM vacanaM vacanaM tu,aDarottaram+vacanam+vacanam+tu
aDarmanASAcconmAdakAmavyADyAdInAM yogAntarAyARAM yogAntarAyARAM pralayaH,aDarmanASAt+ca+unmAdakAmavyADyAdInAm+yogAntarAyARAm+yogAntarAyARAm+pralayaH
aDarmarucayastaTA,aDarmarucayaH+taTA
aDarmaSca,aDarmaH+ca
aDarmAdyASca,aDarmAdyAH+ca
aDarmo hiMsAtvAd hiMsAtvAd vyarTahiMsAvaditi,aDarmaH+hiMsAtvAt+hiMsAtvAt+vyarTahiMsAvat+iti
aDastanaSAyikayorupaviSya,aDastanaSAyikayoH+upaviSya
